Year,Area,Production,Kg/Hectare,irrigation
1947,4424,3336,132,
1950,5882,3044,88,8.2
1951,6556,3276,85,9.1
1952,6359,3341,89,8.5
1953,6987,4125,100,8.4
1954,7546,4445,100,9.8
1955,8086,4181,88,10
1956,8019,4924,104,11
1957,8014,4962,105,12.7
1958,7964,4879,104,12.5
1959,7295,3676,86,12.9
1960,7610,5604,125,12.7
1961,7978,4850,100,13
1962,7730,5336,122,14.1
1963,8221,5747,119,15.3
1964,8365,6011,122,15.5
1965,7962,4852,104,15.9
1966,7836,5266,114,16.1
1967,7995,5777,123,16.7
1968,7596,5447,122,16.5
1969,7731,5564,122,16.4
1970,7605,4763,106,17.3
1971,7800,6950,151,20.3
1972,7679,5735,127,21
1973,7574,6309,142,22.1
1974,7562,7156,161,22.9
1975,7350,5950,138,23.5
1976,6885,5839,144,24.6
1977,7866,7243,157,26.2
1978,8119,7958,167,27.2
1979,8127,7648,160,27.5
1980,7823,7010,152,27.3
1981,8057,7884,166,27.7
1982,7871,7534,163,29
1983,7721,6386,141,29.9
1984,7382,8507,196,28.5
1985,7533,8727,197,30.2
1986,6948,6905,169,31.1
1987,6471,6432,169,32
1988,7343,8744,202,33
1989,7695,11422,252,34.2
1990,7440,9842,225,32.9
1991,7661,9706,215,33.3
1992,7542,11403,257,34.6
1993,7321,10741,249,34.7
1994,7871,11888,257,34.2
1995,9035,12861,242,35
1996,9121,14231,265,35.8
1997,8868,10851,208,36.8
1998,9342,12287,224,34.9
1999,8710,11530,225,35.2
2000,8534,9520,190,34.3
2001,9132,9997,186,34
2002,7670,8624,191,33.1
2003,7598,13729,307,27.1
2004,8787,16429,318,36.9
2005,8677,18499,362,36.1
2006,9145,22632,421,35
2007,9414,25884,467,35.1
2008,9407,22276,403,35.3
2009,10132,24022,403,35.3
2010,11235,33000,499,38.8
2011,12178,35200,491,35.9
2012,11977,34220,486,
2013,11960,35902,510,
2014,12846,34805,461,
2015,12292,30005,415,
2016,10826,32577,512,
2017,,34862,,
